地域コード,都道府県,総人口,日本人人口,15歳未満人口,15～64歳人口,65歳以上人口,外国人人口,出生数,合計特殊出生率,死亡数,転入者数（日本人移動者）,転出者数（日本人移動者）,一般世帯数,一般世帯人員数,単独世帯数,婚姻件数,離婚件数,総面積（北方地域及び竹島を除く）,可住地面積,自然公園面積,県内総生産額（平成23年基準）,県民所得（平成23年基準）,1人当たり県民所得（平成23年基準）,事業所数（民営）,事業所数（民営）（建設業）,事業所数（民営）（製造業）,事業所数（民営）（情報通信業）,事業所数（民営）（卸売業，小売業）,事業所数（民営）（宿泊業，飲食サービス業）,事業所数（民営）（生活関連サービス業，娯楽業）,事業所数（民営）（医療，福祉）,従業者数（民営）,従業者数（民営）（建設業）,従業者数（民営）（製造業）,従業者数（民営）（情報通信業）,従業者数（民営）（卸売業，小売業）,従業者数（民営）（宿泊業，飲食サービス業）,従業者数（民営）（生活関連サービス業，娯楽業）,従業者数（民営）（医療，福祉）,農家数（販売農家）,農家数（自給的農家）,耕地面積,旅館営業施設数（ホテルを含む）,旅館営業施設客室数（ホテルを含む）,幼稚園数,幼稚園在園者数,小学校数,小学校児童数,中学校数,中学校生徒数,高等学校数,高等学校生徒数,短期大学数,大学数,短期大学学生数,大学学生数,公民館数,図書館数,博物館数,社会体育施設数,民間体育施設数,映画館数,劇場，音楽堂等数,一般旅券発行件数,延べ宿泊者数,外国人延べ宿泊者数,総住宅数,空き家数,持ち家数,一戸建住宅数,1住宅当たり延べ面積,総人口（非水洗化人口＋水洗化人口）,非水洗化人口,ごみ総排出量（総量）,1人1日当たりの排出量,ごみのリサイクル率,小売店数,飲食店数,大型小売店数,一般病院数,一般診療所数,歯科診療所数,医師数,歯科医師数,薬剤師数,保育所等数（詳細票）,保育所等在所児数（詳細票）,消費支出（二人以上の世帯）,食料費（二人以上の世帯）,住居費（二人以上の世帯）,教養娯楽費（二人以上の世帯）
R28000,兵庫県,5465002,5215927,660205,3075863,1546543,87280,36953,1.41,58654,83526,91049,2399358,5355504,862511,21964,8370,840102,276954,166081,21328823,16322015,2966,214169,16851,18155,1574,54143,31496,18423,18964,2203102,110137,404201,22315,449366,228205,96619,321523,37025,30099,73000,1490,47555,473,45514,754,282758,383,142012,205,132810,17,36,5866,116299,283,107,44,1164,660,20,67,59077,7948490,171890,2680900,360200,1495900,1164400,93.40,5546977,85076,1879230,926,15.7,41015,27547,790,316,5125,2986,14463,4007,15068,1030,100945,268760,78235,11982,23502
R29000,奈良県,1324473,1302289,154271,737675,414576,11505,7831,1.31,14678,22128,25177,543908,1292985,159204,4574,1831,369094,85389,63328,3695047,3503561,2600,46487,3667,4651,267,12047,5278,4122,4378,434135,21679,69498,2198,92426,44265,22449,80577,10616,11334,20000,417,9735,159,11097,202,67172,110,36085,54,33849,3,11,1229,20655,364,33,22,484,206,5,31,13727,1096330,43130,617600,87200,392000,357800,110.87,1354624,60093,448835,905,16.2,9762,4377,179,75,1215,681,3582,911,2830,219,27566,299627,81275,21951,27727
R30000,和歌山県,922584,911408,105360,503704,305500,6029,5732,1.46,12610,10631,13808,393489,896425,127908,3527,1529,472465,112335,59699,3473335,2643147,2797,47247,4312,3947,234,12878,5688,4258,4084,377605,25860,60026,2890,80632,36832,16296,63285,17250,8013,31800,691,17056,69,4606,248,44501,128,23633,47,24240,1,4,351,7524,253,26,10,441,95,5,19,5876,2791130,37600,485200,98400,280300,284600,105.72,955561,166028,332927,952,12.2,10061,4736,129,75,1025,527,2915,720,2326,201,18952,245467,65955,17125,21593
R31000,鳥取県,553407,543979,68330,300002,177046,4310,3783,1.63,7096,8144,9152,219069,535393,70641,2098,814,350714,90434,49061,1896663,1404083,2485,25718,2292,1517,230,6938,3258,2574,2157,230700,17335,34304,2729,48090,22246,9628,38413,13911,9195,34300,604,9971,20,2021,118,28238,58,14522,32,14572,1,3,555,6736,175,30,7,538,114,3,14,2785,1666570,24640,256600,39900,148400,152800,121.52,561451,36459,211921,1031,29.2,5325,2604,65,39,497,259,1828,357,1200,186,17583,296669,76348,17658,24816
R32000,島根県,671126,656197,81641,352656,227881,8230,4473,1.68,9585,9693,11225,268462,645246,89036,2398,877,670769,127098,40496,2472927,1748494,2553,34987,3780,2348,264,9349,3834,3274,2838,290557,27364,43920,3805,57760,24392,11452,50496,14397,12789,36400,391,10535,89,2852,200,33921,97,17119,47,17707,1,2,171,7098,196,40,22,575,50,2,22,2832,1989340,10930,314200,48300,185800,189800,123.08,680905,111405,238088,955,20.8,7374,3011,71,40,715,268,2050,401,1377,295,23122,294519,73347,18742,24210
R33000,岡山県,1888432,1810900,229352,1032394,557991,25116,13521,1.47,21788,27074,29057,799611,1836335,284926,7852,2986,711433,222827,80664,7813184,5415235,2839,79870,7968,6853,660,21434,8603,7119,6414,820656,57456,160242,10150,168410,65951,31338,123192,27937,22798,63600,695,21051,224,13087,389,98893,165,50683,86,51008,9,18,2166,39347,401,70,32,841,212,8,40,13724,3146180,61480,916300,142500,500100,513800,105.64,1900821,192206,697593,1003,29.0,16020,7157,272,145,1650,988,6088,1778,4167,440,45281,262385,72021,18861,21249
R34000,広島県,2799702,2713163,352678,1580054,811931,47733,19606,1.49,30244,42389,46568,1241204,2725202,462961,11765,4233,847965,229873,37857,11790821,8959272,3167,127057,11440,10302,1188,33337,15298,10987,10211,1302074,83685,236128,22917,274069,108229,50473,181720,20861,24474,53500,701,29594,225,22254,475,149529,267,74729,130,69260,5,20,1521,55652,269,84,30,1095,401,17,42,22019,5562800,131350,1430700,215600,742600,670600,93.52,2828345,240906,930550,899,18.7,23548,13302,424,207,2563,1546,7609,2578,7229,680,65231,287257,78956,16352,26585
R35000,山口県,1342059,1313593,153608,709992,459957,14378,8203,1.56,18477,21026,24321,597309,1293822,218208,4810,1988,611254,171516,42971,6413148,4505707,3258,61385,6326,3497,428,17063,7322,5705,5111,577791,45672,99078,4807,118262,50575,23827,94331,14837,12501,44900,692,18427,166,13873,303,66289,164,33677,79,32051,5,10,780,18546,170,55,23,733,300,6,35,8433,2499800,20920,719900,126800,396500,398900,102.30,1372247,104677,497856,991,32.7,13268,6040,172,117,1240,656,3675,976,3433,302,25010,286130,71864,15423,25466
R36000,徳島県,719559,693084,77129,375657,238346,5033,4521,1.46,9886,8579,10924,307358,693391,109570,2609,1081,414675,101604,38706,3156884,2297253,3091,35853,3304,2695,224,9451,4515,3519,2913,301688,21097,51966,2703,61279,27015,12471,53592,14059,11060,28500,506,9632,111,4927,190,34671,88,17397,37,17801,3,4,715,11867,321,28,11,367,93,2,13,3946,1059480,16400,380700,74100,211300,215900,111.05,743471,51825,262332,964,16.0,7411,3673,77,92,727,431,2552,841,2674,208,15735,295661,76260,14281,25284
R37000,香川県,950244,920884,113757,518056,296533,10854,6179,1.59,12183,15420,17247,406062,920852,139818,3786,1498,187678,100494,20534,3845915,2919952,3018,46774,4444,4141,370,12673,5462,3912,3309,429167,31396,76856,6105,93479,36421,17002,59044,15942,13280,29700,361,13159,120,9188,160,49988,76,25567,40,25477,2,4,761,9129,156,30,12,469,150,6,15,6080,2097440,64410,487700,88200,275400,268600,108.58,982235,73134,312165,868,18.2,8956,4603,143,77,825,475,2852,724,2478,215,22084,275267,72102,17718,25313
R38000,愛媛県,1334841,1296806,153764,711738,434279,11159,8102,1.46,18036,16749,19924,599941,1295030,224773,4903,2001,567619,166601,41121,5149797,3739076,2741,63310,6094,4946,485,17077,7571,6001,5048,566761,42032,91256,7111,119185,48714,24721,90160,20639,14355,47000,449,15646,126,10416,281,67607,134,33235,66,32547,5,5,1068,16254,433,45,24,655,147,9,25,7373,2429920,35560,714300,129800,386400,397300,99.95,1370659,121595,452163,901,16.5,12727,6351,194,122,1226,660,3773,933,2970,315,24068,240210,67671,10921,19692
R39000,高知県,691527,677762,74946,362200,241787,4220,4082,1.47,9998,8366,10363,314330,663963,122867,2440,1149,710363,116129,47504,2429454,1891510,2650,35366,3041,2351,229,9926,5427,3521,2802,279196,21864,28561,3152,62808,30554,12926,54006,12173,7751,26600,372,10489,38,2451,228,31918,128,16999,46,17646,1,5,583,9086,201,41,14,389,65,2,13,3428,1509950,13400,391600,74600,204700,213100,95.32,709567,111523,252110,971,20.3,7841,4423,100,113,549,363,2308,528,1744,255,20511,270206,73830,19723,22399
R40000,福岡県,5135214,4923076,662179,2911353,1395142,66699,38966,1.44,53273,97198,89390,2318479,4986247,942993,22745,8955,498651,276338,88101,19679224,14745915,2888,212649,19086,12187,2642,59520,27481,18990,18992,2236269,150171,249717,53683,489701,212562,94632,352836,27187,14164,79700,1294,59632,422,57337,729,280977,362,136797,164,125635,18,34,6445,110156,310,114,31,1336,483,23,78,46734,8902440,504150,2581200,328600,1182600,991200,84.66,5126550,411592,1772465,945,21.0,41613,23730,618,398,4713,3081,16310,5591,12307,1021,113969,317047,75372,34372,27314
R41000,佐賀県,811442,796285,108241,443579,246061,5940,6004,1.64,9963,14610,16404,311173,781601,94280,3031,1235,244069,133459,26884,2945222,2166548,2630,37479,3526,2913,205,10278,4722,3292,3239,354733,26305,64658,2752,70180,31143,16336,60548,13293,5352,50800,344,9514,53,3807,164,44590,92,23275,46,23034,3,2,812,7741,127,30,13,496,106,3,18,4696,1439330,36870,352100,50500,201000,207700,112.48,824306,149316,271401,900,19.7,7992,3961,78,87,691,416,2383,592,1941,256,22209,288604,73552,22378,24579
R42000,長崎県,1312317,1296014,164303,706077,430353,8316,9182,1.66,17646,20853,26853,556130,1259784,191470,4900,1976,413098,166797,74091,4575751,3481150,2571,62028,5608,3982,383,17542,7855,5923,5834,536782,40263,67308,5057,113314,51962,25994,105805,17329,10953,46100,612,21685,107,8402,327,69812,188,35687,79,35385,2,8,763,17128,188,38,16,820,91,4,36,6987,3673480,91120,659500,101500,353900,357700,97.20,1350826,276403,479297,969,15.8,13761,6300,154,121,1371,729,4300,1192,2925,488,35906,253814,67610,23592,19351
R43000,熊本県,1738301,1705205,228366,944198,540538,14591,13011,1.60,21156,25844,29449,716740,1678793,242940,6793,2797,740946,274696,155636,6059584,4613395,2613,72144,7219,4246,532,19897,8443,7047,6365,690992,50302,99009,7976,142596,62167,31435,131131,32529,15350,109100,1182,27423,101,8511,340,96934,171,48218,73,45401,2,9,717,24771,311,52,17,915,170,6,31,10580,3969680,103380,813700,111900,432300,440600,99.57,1769564,156903,580471,896,20.7,15341,6758,156,173,1469,845,5310,1350,3879,622,54825,291734,71821,22257,24046
R44000,大分県,1123852,1098735,135272,596527,369192,10168,7582,1.53,14444,17259,19570,487679,1082266,175329,4406,1889,634076,179511,174730,4509963,3122174,2710,52973,4964,3078,367,14115,7138,5093,4434,483206,39596,71935,5635,97710,47441,20533,83625,18099,13855,54700,1080,24970,166,8040,266,57705,130,29212,55,29937,5,5,1817,15278,245,33,13,584,168,7,22,6128,3680410,110710,581800,97700,306300,304000,98.02,1151796,107277,405385,962,19.1,10980,5504,127,130,949,542,3283,754,2236,332,25067,271369,71027,22212,24237
R45000,宮崎県,1069576,1047871,139773,568255,344543,6474,7720,1.73,14140,16858,19340,468575,1030106,167776,4148,1905,773522,187614,91919,3762915,2708183,2487,51475,5184,3046,311,13629,7353,5205,4633,448050,35124,60717,5383,94952,41216,20079,80139,20304,10636,65200,444,14995,93,5700,238,60450,137,30211,52,29590,2,7,655,9924,91,32,8,654,189,5,24,4744,2361120,49160,546400,84200,302300,314700,94.39,1095673,87720,393678,982,16.6,10573,6278,135,120,899,506,2810,737,2193,425,32164,261710,71144,16200,22878
R46000,鹿児島県,1588256,1545763,205381,832194,505891,10037,11638,1.63,21501,24748,28024,725855,1528471,282664,6131,2521,918706,328812,125205,5504459,4051248,2492,75443,6701,4912,446,21093,9675,7312,6898,669456,51161,83370,5813,149034,61626,29469,131791,28199,20161,114800,904,26644,146,9570,507,89738,226,44912,89,43928,4,6,1927,15432,244,63,17,1009,175,4,48,6956,3993550,105000,879400,167000,458100,481500,88.67,1630934,150776,548911,920,15.6,16431,7696,222,204,1374,801,4545,1323,3181,568,42273,266228,70501,20650,22061
R47000,沖縄県,1467480,1424749,243246,871154,324708,18157,14943,1.82,12390,26958,25269,613294,1430169,229602,7376,3410,228259,112657,81558,4414093,3389334,2349,64285,4286,3065,668,15843,11636,5988,5110,553619,40040,33130,12206,117878,73321,27292,93865,10674,4073,37000,2156,56759,185,9911,268,101918,152,48763,64,44037,2,8,836,17932,85,40,15,507,239,9,18,12936,10295710,861960,652600,67900,255900,223800,75.77,1478957,82087,481354,889,14.5,12662,9891,252,78,901,613,3589,863,2259,591,50444,216202,66197,22333,14661
